id,CCT_PROCED,nombre_procedencia,cct_primera_opcion,nombre_primera_opcion,Coord_x_procedencia,Coord_y_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Distancia_km
226,09DPR2895Y,REPÚBLICA COSTA DE MARFIL,09DES0132Z,JAPON,-99.1063,19.3893,-99.0485,19.3414,8.070573807906914
98,09DPR4236B,AARON CAMACHO LÓPEZ,09DES0107Z,XOCHIMILCO,-99.0279,19.2508,-99.105,19.2573,8.12580478456437
313,09PPR0958K,HORACIO MANN,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.088758,19.411895,-99.1616,19.4426,8.36682536091828
281,09DPR1516R,REPÚBLICA MEXICANA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1541,19.5185,-99.1616,19.4426,8.476237067122051
164,09DPR2893Z,MAESTRO MANUEL M CERNA CASTELAZO,09DES0132Z,JAPON,-99.1241,19.3839,-99.0485,19.3414,9.232099512628182
337,09PPR0994P,COLEGIO LA FAYETTE,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.071531,19.426782,-99.1616,19.4426,9.606946604735272
175,09DPR3082I,PROFR. VICTORIANO GONZÁLEZ GARZON,09DES0132Z,JAPON,-99.0587,19.4313,-99.0485,19.3414,10.053513693934388
311,09DPR1308K,ESTEBAN GARCÍA DE ALBA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1205,19.3596,-99.1616,19.4426,10.186218231718215
319,09DPR1785L,VASCO DE QUIROGA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.2396,19.3828,-99.1616,19.4426,10.541806901790133
262,09DPR2284Y,REPÚBLICA DE IRAK,09DES0318D,XALPA,-99.1197,19.36,-99.0166,19.3449,10.945990325977757
157,09DPR0102L,EFRAIN HUERTA,09DES0117G,GABRIELA MISTRAL,-99.0707,19.2962,-99.0435,19.3919,11.017366293513533
70,09PPR0139D,COLEGIO AZCAPOTZALCO,09DES0085E,REPÚBLICA DE FRANCIA,-99.184652,19.485098,-99.0809,19.4505,11.53743115309995
218,09DPR2021O,MAESTRO FELIX JIMÉNEZ NÁJERA,09DES0132Z,JAPON,-98.9947,19.2481,-99.0485,19.3414,11.811448734474144
189,09DPR2301Y,FUERZAS ARMADAS DE MÉXICO,09DES0132Z,JAPON,-99.1623,19.2782,-99.0485,19.3414,13.856419491555044
199,09DPR2505S,DR. AGUSTIN RIVERA,09DES0132Z,JAPON,-99.1451,19.4273,-99.0485,19.3414,13.92487443450515
231,09DIX0017P,FRANCISCO I. MADERO,09DES0317E,OCTAVIO PAZ,-99.116,19.4432,-99.0051,19.3407,16.28510268816315
331,09DPR1307L,ESTADO DE MORELOS,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.0116,19.3621,-99.1616,19.4426,18.10027246549186
354,09DPR2131U,MTRO. ENRIQUE C. REBSAMEN,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.079,19.4978,-99.0413,19.3349,18.54011010236366
259,09DPR5140W,GUSTAVO BAZ PRADA,09DES0318D,XALPA,-99.2301,19.2726,-99.0166,19.3449,23.803452397095434
